timestamp,temperature,humidity,pH,soil_moisture
2024-11-01 12:40:00,12.3,78.5,6.8,45.2
2024-11-01 12:41:00,11.8,79.8,6.8,44.8
2024-11-01 12:42:00,11.2,81.2,6.9,44.5
2024-11-01 12:43:00,10.9,82.1,6.9,44.2
2024-11-01 12:44:00,10.5,82.8,6.9,43.9
2024-11-01 12:45:00,10.8,82.3,6.8,43.7
2024-11-01 12:46:00,11.5,80.9,6.8,43.5
2024-11-01 12:47:00,13.2,77.4,6.9,43.1
2024-11-01 12:48:00,15.8,72.6,7.0,42.6
2024-11-01 12:49:00,18.9,67.3,7.1,41.9
2024-11-01 12:50:00,22.1,61.5,7.1,41.1
2024-11-01 12:51:00,25.3,56.2,7.0,40.2
2024-11-01 12:52:00,27.8,52.4,6.9,39.1
2024-11-01 12:53:00,29.5,49.8,6.8,37.9
2024-11-01 12:54:00,30.8,47.5,6.8,36.5
2024-11-01 12:55:00,31.2,46.9,6.7,35.1
2024-11-01 12:56:00,30.5,48.1,6.7,33.8
2024-11-01 12:57:00,28.9,50.6,6.8,32.6
2024-11-01 12:58:00,26.2,54.8,6.9,31.5
2024-11-01 12:59:00,23.1,60.2,7.0,30.6
2024-11-01 13:00:00,19.8,66.1,7.0,30.1
2024-11-01 13:01:00,17.4,71.3,6.9,29.8
2024-11-01 13:02:00,15.2,75.2,6.9,29.5
2024-11-01 13:03:00,13.7,77.8,6.8,29.3
2024-11-01 13:04:00,12.5,79.2,6.8,29.1
2024-11-01 13:05:00,12.1,80.1,6.9,28.9
2024-11-01 13:06:00,11.6,81.3,6.9,28.7
2024-11-01 13:07:00,11.2,82.0,6.9,28.5
2024-11-01 13:08:00,10.9,82.5,6.8,28.3
2024-11-01 13:09:00,11.1,82.1,6.8,28.2
2024-11-01 13:10:00,11.8,80.5,6.9,28.0
2024-11-01 13:11:00,13.5,76.9,7.0,27.7
2024-11-01 13:12:00,16.2,71.8,7.0,27.3
2024-11-01 13:13:00,19.4,66.2,7.1,26.8
2024-11-01 13:14:00,22.8,60.3,7.1,26.2
2024-11-01 13:15:00,26.1,55.1,7.0,25.5
2024-11-01 13:16:00,28.7,51.2,6.9,24.7
2024-11-01 13:17:00,30.5,48.5,6.8,23.8
2024-11-01 13:18:00,31.8,46.2,6.8,22.9
2024-11-01 13:19:00,32.3,45.5,6.7,21.9
2024-11-01 13:20:00,31.6,46.8,6.7,21.0
2024-11-01 13:21:00,29.8,49.4,6.8,20.2
2024-11-01 13:22:00,27.1,53.7,6.9,19.5
2024-11-01 13:23:00,23.8,59.3,7.0,19.0
2024-11-01 13:24:00,20.3,65.5,7.0,18.6
2024-11-01 13:25:00,17.8,70.9,6.9,18.3
2024-11-01 13:26:00,15.5,74.9,6.9,18.1
2024-11-01 13:27:00,14.1,77.3,6.8,18.0
